DEMAND_DATE,CALAMARI,FISCH,GARNELEN,HAEHNCHEN,KOEFTE,LAMM,STEAK,TOTAL_FISCHPROD,TOTAL_FLEISCH,TOTAL,CALAMARI_DEMAND_T7
04/10/2013,6,6,12,40,23,50,36,24,149,173,3
05/10/2013,8,8,5,44,36,37,30,21,147,168,9
06/10/2013,6,5,11,19,12,22,16,22,69,91,4
07/10/2013,4,4,2,28,13,28,22,10,91,101,7
08/10/2013,7,4,9,22,18,29,29,20,98,118,4
09/10/2013,7,4,11,33,23,23,37,22,116,138,5
10/10/2013,3,7,3,39,27,31,22,13,119,132,6
11/10/2013,5,3,10,35,18,38,37,18,128,146,6
12/10/2013,5,13,10,71,46,45,35,28,197,225,8
13/10/2013,1,0,7,32,12,29,18,8,91,99,6
14/10/2013,2,3,5,20,18,26,19,10,83,93,4
15/10/2013,2,4,8,17,13,17,17,14,64,78,7
16/10/2013,8,2,7,37,21,31,30,17,119,136,7
17/10/2013,6,5,9,45,31,44,27,20,147,167,3
18/10/2013,7,12,12,47,32,52,40,31,171,202,5
19/10/2013,10,5,11,49,32,45,54,26,180,206,5
20/10/2013,6,2,5,24,9,22,18,13,73,86,1
21/10/2013,5,4,6,31,18,28,22,15,99,114,2
22/10/2013,3,11,14,40,15,57,39,28,151,179,2
23/10/2013,5,9,14,40,24,25,28,28,117,145,8
24/10/2013,6,6,11,35,23,41,41,23,140,163,6
25/10/2013,5,5,15,44,22,44,50,25,160,185,7
26/10/2013,4,8,16,38,26,39,50,28,153,181,10
27/10/2013,8,5,10,30,17,28,31,23,106,129,6
28/10/2013,5,7,2,25,19,29,28,14,101,115,5
29/10/2013,5,6,15,31,25,23,28,26,107,133,3
30/10/2013,4,10,9,33,21,34,50,23,138,161,5
31/10/2013,4,7,16,44,18,50,40,27,152,179,6
01/11/2013,0,3,2,1,2,0,4,5,7,12,5
02/11/2013,25,14,23,78,71,63,59,62,271,333,4
03/11/2013,3,4,6,32,19,40,26,13,117,130,8
04/11/2013,0,3,7,24,21,22,24,10,91,101,5
05/11/2013,2,7,8,39,21,31,17,17,108,125,5
06/11/2013,7,7,12,38,21,27,24,26,110,136,4
07/11/2013,5,5,8,38,24,36,43,18,141,159,4
08/11/2013,7,3,16,43,21,37,23,26,124,150,0
09/11/2013,8,12,27,67,35,70,59,47,231,278,25
10/11/2013,6,4,13,22,13,13,24,23,72,95,3
11/11/2013,3,10,4,22,15,30,19,17,86,103,0
12/11/2013,2,5,10,29,18,29,30,17,106,123,2
13/11/2013,4,7,10,36,22,20,27,21,105,126,7
14/11/2013,3,4,5,29,20,41,26,12,116,128,5
15/11/2013,7,7,19,36,22,48,36,33,142,175,7
16/11/2013,4,10,13,57,43,57,44,27,201,228,8
17/11/2013,1,1,12,24,22,16,22,14,84,98,6
18/11/2013,4,5,7,30,30,26,18,16,104,120,3
19/11/2013,4,6,10,25,21,22,21,20,89,109,2
20/11/2013,5,3,16,33,21,24,18,24,96,120,4
21/11/2013,7,5,15,52,20,31,33,27,136,163,3
22/11/2013,4,6,14,42,25,36,27,24,130,154,7
23/11/2013,6,9,14,54,44,48,48,29,194,223,4
24/11/2013,4,7,8,37,21,24,29,19,111,130,1
25/11/2013,4,8,6,27,22,21,26,18,96,114,4
26/11/2013,4,5,5,38,32,33,19,14,122,136,4
27/11/2013,1,5,11,30,18,33,30,17,111,128,5
28/11/2013,4,7,11,33,21,33,26,22,113,135,7
29/11/2013,5,11,9,35,31,34,27,25,127,152,4
30/11/2013,13,7,11,46,27,50,47,31,170,201,6
01/12/2013,1,3,7,19,8,16,15,11,58,69,4
02/12/2013,4,11,4,26,14,14,13,19,67,86,4
03/12/2013,3,5,15,23,21,28,30,23,102,125,4
04/12/2013,2,7,13,24,18,24,22,22,88,110,1
05/12/2013,7,4,9,35,11,25,24,20,95,115,4
06/12/2013,9,5,15,42,29,35,26,29,132,161,5
07/12/2013,11,11,28,57,48,50,55,50,210,260,13
08/12/2013,4,11,5,27,16,29,21,20,93,113,1
09/12/2013,3,3,8,21,14,31,24,14,90,104,4
10/12/2013,5,10,11,24,14,28,22,26,88,114,3
